header_frame_id,header_seq,header_stamp_nsecs,header_stamp_secs,point_x,point_y,point_z
Camera,645,0,0,-0.0447050888432,0.0780194911045,0.58985403581
Camera,646,0,0,-0.0447460750037,0.0780512410049,0.589952567774
Camera,647,0,0,-0.0447277223971,0.0780693453376,0.590040125725
Camera,648,0,0,-0.0446658258369,0.078041234923,0.5898561553
Camera,649,0,0,-0.0447370771935,0.0780973505706,0.59012181216
Camera,650,0,0,-0.0447391132612,0.078106562685,0.590055064605
Camera,651,0,0,-0.0446407305359,0.07808702697,0.589688323859
Camera,652,0,0,-0.0447121157044,0.0780970631188,0.589923940263
Camera,653,0,0,-0.0447551224793,0.0780761097093,0.590318492805
Camera,654,0,0,-0.0447240911106,0.0780718875659,0.58991261426
Camera,655,0,0,-0.0447065586838,0.0780833970497,0.589944331406
Camera,656,0,0,-0.0446182740062,0.0781467995906,0.589667455864
Camera,657,0,0,-0.0446606419186,0.0781587962581,0.589822070417
Camera,658,0,0,-0.0447026705505,0.0782130680402,0.589809464084
Camera,659,0,0,-0.0446940612582,0.0782230630988,0.589807958683
Camera,660,0,0,-0.0446121950121,0.0779779174362,0.589430473439
Camera,661,0,0,-0.0447243185075,0.0777992938075,0.589469280544
Camera,662,0,0,-0.0446845553602,0.0777296412229,0.589334179493
Camera,663,0,0,-0.0445622289493,0.0782479034352,0.589302304617
Camera,664,0,0,-0.0445811924108,0.0786833619964,0.589333954987
Camera,665,0,0,-0.0446920171737,0.0781479543305,0.589800607157
Camera,666,0,0,-0.0448111491873,0.0768777305253,0.588309818736
Camera,667,0,0,-0.0448090451022,0.0764720426087,0.588053650437
Camera,668,0,0,-0.0446582536461,0.0764378719574,0.587385762432
Camera,669,0,0,-0.0447254663577,0.0766579011337,0.587840218286
Camera,670,0,0,-0.0448256924826,0.0776021283885,0.589772054055
Camera,671,0,0,-0.0447282340461,0.0781044928759,0.590009194058
Camera,672,0,0,-0.0445807453426,0.0780891350654,0.58963155654
Camera,673,0,0,-0.0446422708054,0.0780684854091,0.589807030256
Camera,674,0,0,-0.0447276625205,0.0781483026735,0.590040635091
Camera,675,0,0,-0.0446731929478,0.0781815213859,0.590185194799
Camera,676,0,0,-0.0446152813069,0.0781258464157,0.58961145559
Camera,677,0,0,-0.0447148586871,0.0782388388605,0.589912790377
Camera,678,0,0,-0.0445981657396,0.0781948904301,0.589349564491
Camera,679,0,0,-0.0445889625748,0.0782207449729,0.589303018359
Camera,680,0,0,-0.04461421739,0.0783086332838,0.589617804173
Camera,681,0,0,-0.044646991602,0.0782655957173,0.589798556815
Camera,682,0,0,-0.0445369434826,0.0782172036664,0.589305121363
Camera,683,0,0,-0.0445936766133,0.0783224209107,0.589570744705
Camera,684,0,0,-0.0446424912637,0.0782797135983,0.58954164684
Camera,685,0,0,-0.0445315014026,0.078280784207,0.589170168932
Camera,686,0,0,-0.0445440811308,0.0782908250005,0.589190702818
Camera,687,0,0,-0.0446567335072,0.0782541110832,0.589723382037
Camera,688,0,0,-0.0446238580028,0.07822669528,0.589724430432
Camera,689,0,0,-0.0446689508272,0.078373374362,0.589783466521
Camera,690,0,0,-0.0446206711002,0.0783540139606,0.589734490501
Camera,691,0,0,-0.0445084636667,0.0782920784487,0.589164945805
Camera,692,0,0,-0.044659617348,0.0782381431564,0.589499705078
Camera,693,0,0,-0.0446930843639,0.0783680381471,0.590093528075
Camera,694,0,0,-0.0446028236047,0.0782698602717,0.589538872574
Camera,695,0,0,-0.0446393388242,0.0782959928782,0.58960089078
Camera,696,0,0,-0.0445041089598,0.0782677833526,0.589023805752
Camera,697,0,0,-0.0446051197438,0.0783837391931,0.589363577184
Camera,698,0,0,-0.0446905813958,0.0783232906969,0.58984652436
Camera,699,0,0,-0.0446812795133,0.0784120345027,0.589772364912
Camera,700,0,0,-0.0445715546119,0.0784313347644,0.58965198414
Camera,701,0,0,-0.044602204836,0.0784122337925,0.589467573098
Camera,702,0,0,-0.0446035975462,0.078323790345,0.589420687877
Camera,703,0,0,-0.0446591984154,0.0783432901192,0.589868053829
Camera,704,0,0,-0.044681200046,0.0783597717517,0.58982363187
Camera,705,0,0,-0.0446297356317,0.0783769417247,0.589502483222
Camera,706,0,0,-0.0447271161181,0.0784028621056,0.589993704931
Camera,707,0,0,-0.0446588928834,0.0783804379218,0.589618185988
Camera,708,0,0,-0.0445126858083,0.0783914658279,0.589242150535
Camera,709,0,0,-0.0445148460316,0.0783867443431,0.58923815321
Camera,710,0,0,-0.0445777550612,0.0784232390481,0.589390316268
Camera,711,0,0,-0.0446270745479,0.0784368467243,0.589642166778
Camera,712,0,0,-0.0447154653718,0.0784635337792,0.589698177958
Camera,713,0,0,-0.0447115603678,0.0784398777909,0.589780827915
Camera,714,0,0,-0.0451522008016,0.0785634886605,0.590834341741
Camera,715,0,0,-0.0450825034735,0.0784773859087,0.590438332494
Camera,716,0,0,-0.0451116084343,0.0785560697695,0.590494834872
Camera,717,0,0,-0.0453244583277,0.0785664178961,0.59146999313
Camera,718,0,0,-0.0450878225985,0.0785460400958,0.590467914858
Camera,719,0,0,-0.0451265604267,0.0785914389196,0.59060807802
Camera,720,0,0,-0.0450536340689,0.0784915686075,0.590484552972
Camera,721,0,0,-0.0450641647064,0.0785658412323,0.59043399627
Camera,722,0,0,-0.045012435454,0.0785179534059,0.590153897431
Camera,723,0,0,-0.0450672378329,0.0785762504484,0.590563985485
Camera,724,0,0,-0.0451842479624,0.0787115480321,0.590914809429
Camera,725,0,0,-0.045182368999,0.0785020171721,0.590758402246
Camera,726,0,0,-0.0451236975272,0.0786080661516,0.590824615822
Camera,727,0,0,-0.0450353694405,0.078486419873,0.590503949375
Camera,728,0,0,-0.0451515336597,0.078579035409,0.590780753888
Camera,729,0,0,-0.0451103054303,0.0785535171932,0.590602486669
Camera,730,0,0,-0.0451296614387,0.0785737279166,0.590549300811
Camera,731,0,0,-0.0451221282592,0.0784890290553,0.59019865886
Camera,732,0,0,-0.0449988822161,0.0785402350834,0.590351287346
Camera,733,0,0,-0.0450827964502,0.0786540877913,0.590547022575
Camera,734,0,0,-0.0451211421137,0.0786971416941,0.590669547742
